Customer S.No,Age,Gender,Item Purchased,Category,Purchase Amount,Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchase,Preferred Payment Method,Frequency of Purchase
2431,47,Female,Gaming Console,Beauty,847.86,San Francisco,N/A,Yellow,All Seasons,1.5,Active,Debit Card,Standard,No,None,Yes,Apple Pay,Weekly
2432,39,Male,T-Shirt,Clothing,534.9,Las Vegas,XL,Grey,Fall,3.3,Active,Credit Card,Store pickup,Yes,SUMMER20,Yes,Google Pay,Quarterly
2433,57,Male,sunglasses,Footwear,168.67,Los Angeles,S,Silver,All Seasons,3.8,Active,Apple Pay,Store pickup,No,None,Yes,Credit Card,Yearly
2434,47,Other,Dress,Footwear,275.55,Houston,N/A,Grey,Winter,2.4,Active,Credit Card,Express,Yes,None,No,Apple Pay,Quarterly
2435,21,Other,jeans,Clothing,354.27,Houston,XL,Green,Fall,1.2,Active,Debit Card,Express,Yes,SUMMER20,Yes,PayPal,Monthly
2436,47,Male,jeans,Accessories,222.41,Houston,XL,Gray,Summer,3.0,Active,Debit Card,Standard,No,None,Yes,Google Pay,Yearly
2437,50,Other,Gaming Console,Clothing,540.7,Boston,M,Gold,Summer,1.5,Inactive,Google Pay,Free ship,No,None,No,Google Pay,Bi-Weekly
2438,42,Other,Perfume,Footwear,443.37,Houston,XL,Gray,Summer,2.2,Active,PayPal,Nextday,Yes,TECH10,Yes,Debit Card,Weekly
2439,46,Male,T-Shirt,Electronics,472.35,Seattle,M,Pink,Fall,2.9,Inactive,Google Pay,Standard,Yes,TECH10,No,Apple Pay,Weekly
2440,37,Other,Laptop,Footwear,176.56,Los Angeles,M,Purple,Winter,3.8,Inactive,Credit Card,Free ship,No,None,No,Apple Pay,Quarterly
2441,20,Female,Smartphone,Bags,599.32,New York,L,Blue,Summer,2.5,Active,Debit Card,Free ship,No,None,Yes,Google Pay,Bi-Weekly
2442,30,Female,Laptop,Beauty,837.94,San Francisco,M,Olive,Spring,2.6,Inactive,Google Pay,Store pickup,No,None,Yes,Debit Card,Monthly
2443,53,Other,Running Shoes,Electronics,209.64,Denver,L,Grey,Fall,3.9,Inactive,Google Pay,Store pickup,No,None,No,Debit Card,Monthly
2444,55,Other,kurta,Accessories,62.81,Boston,N/A,Pink,Fall,3.3,Active,PayPal,Store pickup,Yes,TECH10,No,PayPal,Weekly
2445,42,Other,T-Shirt,Bags,590.13,Miami,M,Orange,Summer,4.4,Inactive,Digital Wallet,Free ship,No,None,Yes,Debit Card,Yearly
2446,22,Male,sweater,Accessories,327.23,San Francisco,XL,Orange,Summer,3.3,Inactive,PayPal,Store pickup,Yes,None,No,Google Pay,Weekly
2447,53,Female,kurta,Bags,772.94,New York,L,Blue,Spring,2.4,Inactive,Credit Card,Express,No,None,Yes,Google Pay,Bi-Weekly
2448,20,Other,Wristwatch,Accessories,530.92,New York,L,White,Winter,1.0,Active,Credit Card,Express,Yes,SPRING15,No,PayPal,Yearly
2449,39,Male,Wristwatch,Beauty,385.61,Denver,S,Grey,Fall,2.5,Active,Google Pay,Standard,Yes,BEAUTY5,Yes,Google Pay,Weekly
2450,24,Male,sweater,Bags,951.06,Miami,N/A,Grey,Fall,4.7,Active,Apple Pay,Express,No,None,Yes,PayPal,Quarterly
2451,40,Male,T-Shirt,Footwear,680.83,Seattle,S,Gold,Summer,4.6,Active,Digital Wallet,Express,No,None,Yes,Debit Card,Quarterly
2452,56,Other,Dress,Clothing,805.75,Chicago,XL,Pink,Summer,1.6,Active,Debit Card,Express,Yes,None,No,PayPal,Yearly
2453,23,Other,Wristwatch,Clothing,330.27,San Francisco,N/A,Purple,Fall,1.9,Inactive,PayPal,Store pickup,No,None,Yes,Credit Card,Yearly
2454,56,Female,Laptop,Beauty,252.12,Miami,M,Black,Fall,4.6,Active,Apple Pay,Express,No,None,Yes,Google Pay,Bi-Weekly
2455,19,Other,Wristwatch,Footwear,914.0,Houston,L,Yellow,Summer,4.7,Inactive,Google Pay,Free ship,Yes,BEAUTY5,Yes,Google Pay,Monthly
2456,26,Female,Smartphone,Clothing,368.32,Seattle,S,Orange,Winter,1.8,Active,PayPal,Express,Yes,SUMMER20,Yes,Credit Card,Weekly
2457,58,Male,T-Shirt,Bags,484.69,Miami,XL,Pink,All Seasons,3.7,Active,Debit Card,Express,No,None,Yes,Credit Card,Bi-Weekly
2458,29,Male,sweater,Footwear,565.55,Boston,S,Grey,Summer,4.8,Active,Google Pay,Free ship,No,None,No,Credit Card,Weekly
2459,55,Other,kurta,Footwear,322.79,Denver,S,Green,Summer,4.5,Active,Digital Wallet,Express,Yes,SUMMER20,Yes,Google Pay,Quarterly
2460,22,Male,Backpack,Bags,155.79,New York,N/A,Silver,All Seasons,4.0,Active,Apple Pay,Store pickup,No,None,No,Credit Card,Weekly
2461,36,Male,T-Shirt,Electronics,355.93,Las Vegas,S,Gold,Spring,1.8,Active,Apple Pay,Nextday,Yes,None,Yes,Apple Pay,Weekly
2462,36,Other,Perfume,Footwear,521.63,Los Angeles,S,Yellow,Spring,2.9,Inactive,Apple Pay,Nextday,Yes,SPRING15,Yes,Google Pay,Weekly
2463,20,Male,Running Shoes,Beauty,453.8,Las Vegas,N/A,Orange,Winter,1.9,Inactive,Debit Card,Express,Yes,None,No,Apple Pay,Yearly
2464,26,Other,Gaming Console,Footwear,443.69,Miami,S,Black,All Seasons,2.2,Active,Apple Pay,Nextday,No,None,Yes,Debit Card,Bi-Weekly
2465,24,Female,Handbag,Bags,786.41,Denver,XL,Pink,Summer,4.7,Inactive,Google Pay,Standard,Yes,SUMMER20,No,PayPal,Yearly
2466,20,Female,Wristwatch,Bags,97.34,Seattle,L,Olive,Summer,2.7,Active,Credit Card,Store pickup,Yes,None,No,PayPal,Weekly
2467,52,Male,Handbag,Electronics,865.13,Los Angeles,N/A,Blue,Spring,2.7,Active,Credit Card,Standard,Yes,SPRING15,No,Credit Card,Bi-Weekly
2468,20,Female,Smartphone,Clothing,386.67,Denver,M,Green,All Seasons,1.8,Inactive,PayPal,Standard,No,None,No,Google Pay,Quarterly
2469,53,Other,jeans,Beauty,938.3,Chicago,N/A,Orange,Spring,3.4,Inactive,Apple Pay,Nextday,Yes,SUMMER20,No,Apple Pay,Weekly
2470,22,Female,Smartphone,Beauty,888.71,San Francisco,M,Gray,All Seasons,2.7,Inactive,Credit Card,Store pickup,Yes,SPRING15,Yes,Debit Card,Quarterly
2471,18,Male,Backpack,Accessories,369.37,Boston,N/A,Silver,Fall,2.0,Inactive,Credit Card,Express,Yes,SUMMER20,No,PayPal,Yearly
2472,43,Female,Gaming Console,Beauty,300.73,Chicago,M,Grey,Fall,3.5,Active,Apple Pay,Store pickup,No,None,No,Google Pay,Quarterly
2473,34,Female,Backpack,Footwear,871.4,Las Vegas,L,Gray,Fall,1.6,Active,Debit Card,Store pickup,No,None,No,PayPal,Weekly
2474,53,Female,Gaming Console,Clothing,595.46,Boston,M,Red,Winter,3.3,Inactive,Debit Card,Express,Yes,TECH10,Yes,Debit Card,Quarterly
2475,46,Male,Perfume,Beauty,249.1,Las Vegas,XL,Gray,Winter,1.2,Active,Apple Pay,Free ship,No,None,No,Credit Card,Monthly
2476,57,Other,jeans,Clothing,512.45,Chicago,XL,Gray,Fall,1.6,Inactive,PayPal,Free ship,Yes,SUMMER20,No,PayPal,Monthly
2477,56,Female,Running Shoes,Footwear,981.85,Miami,S,Olive,Winter,1.7,Inactive,Debit Card,Express,No,None,Yes,PayPal,Monthly
2478,54,Other,Handbag,Beauty,812.63,San Francisco,XL,Gray,All Seasons,3.1,Inactive,Apple Pay,Store pickup,Yes,SPRING15,Yes,Debit Card,Quarterly
2479,29,Other,Handbag,Footwear,680.74,Houston,S,Red,All Seasons,1.6,Active,PayPal,Store pickup,Yes,SUMMER20,Yes,Credit Card,Weekly
2480,38,Other,Smartphone,Electronics,863.09,Las Vegas,M,Orange,All Seasons,1.9,Inactive,Debit Card,Free ship,Yes,BEAUTY5,No,Apple Pay,Yearly
2481,38,Male,Laptop,Footwear,717.41,Boston,M,Black,Winter,4.3,Inactive,Google Pay,Standard,No,None,Yes,Apple Pay,Monthly
2482,60,Female,Perfume,Bags,739.5,Chicago,L,Gold,Fall,2.8,Inactive,Google Pay,Express,Yes,TECH10,Yes,Google Pay,Weekly
2483,59,Female,sunglasses,Footwear,767.31,Miami,N/A,Black,All Seasons,3.0,Inactive,Credit Card,Express,Yes,BEAUTY5,Yes,PayPal,Quarterly
2484,20,Other,sweater,Clothing,497.71,Denver,S,Yellow,Fall,4.3,Inactive,Digital Wallet,Free ship,No,None,Yes,Credit Card,Bi-Weekly
2485,42,Other,Smartphone,Footwear,692.49,San Francisco,S,Blue,All Seasons,2.6,Inactive,Credit Card,Standard,No,None,Yes,Google Pay,Bi-Weekly
2486,30,Other,Gaming Console,Footwear,49.48,Denver,XL,Black,All Seasons,3.5,Inactive,Digital Wallet,Free ship,Yes,SPRING15,No,PayPal,Quarterly
2487,32,Male,sunglasses,Electronics,963.89,Boston,XL,Pink,Winter,1.5,Active,PayPal,Express,No,None,Yes,Credit Card,Bi-Weekly
2488,20,Other,T-Shirt,Clothing,135.63,Las Vegas,L,Grey,Winter,3.1,Active,Google Pay,Store pickup,No,None,No,Debit Card,Quarterly
2489,43,Other,Backpack,Electronics,516.55,San Francisco,N/A,White,All Seasons,2.5,Active,Digital Wallet,Nextday,Yes,SPRING15,No,Debit Card,Monthly
2490,52,Other,kurta,Bags,585.17,Boston,N/A,Olive,Fall,2.1,Inactive,Debit Card,Nextday,No,None,No,PayPal,Quarterly
2491,50,Other,Dress,Electronics,833.49,Miami,L,Grey,Winter,1.3,Active,Google Pay,Express,Yes,SUMMER20,No,Credit Card,Bi-Weekly
2492,50,Other,Gaming Console,Accessories,346.28,New York,L,Pink,All Seasons,4.9,Inactive,Google Pay,Express,No,None,Yes,Credit Card,Weekly
2493,53,Other,Handbag,Clothing,78.24,Los Angeles,N/A,Yellow,Fall,2.2,Active,Google Pay,Standard,No,None,Yes,Google Pay,Quarterly
2494,32,Male,Laptop,Clothing,565.77,Chicago,XL,White,Summer,3.5,Active,Google Pay,Nextday,Yes,SUMMER20,Yes,Credit Card,Weekly
2495,28,Male,sweater,Accessories,101.75,Los Angeles,M,Red,All Seasons,2.9,Active,Debit Card,Free ship,No,None,No,Credit Card,Weekly
2496,53,Female,sunglasses,Accessories,507.9,Las Vegas,XL,Purple,Winter,4.9,Inactive,Apple Pay,Nextday,No,None,Yes,Debit Card,Quarterly
2497,49,Other,Laptop,Accessories,254.33,Los Angeles,M,Gold,Fall,1.1,Inactive,Apple Pay,Express,No,None,No,PayPal,Weekly
2498,27,Male,T-Shirt,Footwear,506.64,Denver,S,Blue,Fall,4.5,Inactive,Google Pay,Standard,Yes,BEAUTY5,Yes,Debit Card,Quarterly
2499,42,Other,Running Shoes,Accessories,335.48,Boston,M,Orange,All Seasons,4.1,Active,PayPal,Nextday,Yes,SPRING15,Yes,Debit Card,Quarterly
2500,28,Female,kurta,Beauty,582.72,Las Vegas,XL,Olive,Winter,3.6,Inactive,Debit Card,Express,Yes,TECH10,Yes,PayPal,Quarterly
2501,18,Other,Laptop,Clothing,217.8,Los Angeles,L,Red,Fall,2.9,Active,Debit Card,Free ship,No,None,No,Apple Pay,Yearly
2502,45,Male,Backpack,Accessories,582.72,New York,N/A,Grey,All Seasons,4.8,Inactive,PayPal,Express,Yes,TECH10,Yes,PayPal,Monthly
2503,54,Female,sweater,Beauty,760.53,Seattle,M,Gray,All Seasons,4.5,Inactive,Credit Card,Express,Yes,BEAUTY5,No,Google Pay,Yearly
2504,19,Male,sunglasses,Clothing,173.79,Houston,S,Red,Winter,1.4,Active,Credit Card,Store pickup,No,None,Yes,Google Pay,Yearly
2505,27,Female,jeans,Bags,738.96,Los Angeles,N/A,Orange,Summer,1.6,Active,Apple Pay,Store pickup,No,None,Yes,Google Pay,Monthly
2506,35,Other,Wristwatch,Beauty,173.83,San Francisco,M,Yellow,Fall,2.2,Active,PayPal,Free ship,No,None,No,PayPal,Weekly
2507,60,Male,Laptop,Electronics,905.38,Las Vegas,L,Pink,Spring,3.2,Active,Digital Wallet,Store pickup,Yes,SPRING15,Yes,Google Pay,Yearly
2508,49,Other,sweater,Beauty,858.86,New York,XL,Red,Summer,3.8,Active,Credit Card,Nextday,No,None,No,Debit Card,Quarterly
2509,36,Male,jeans,Bags,865.26,New York,XL,Blue,Fall,4.4,Active,Digital Wallet,Standard,Yes,SPRING15,No,PayPal,Monthly
2510,39,Other,jeans,Electronics,595.2,Miami,N/A,Green,Summer,2.9,Inactive,Debit Card,Free ship,No,None,Yes,Google Pay,Yearly
2511,37,Other,Backpack,Electronics,101.69,Boston,L,Gray,Summer,2.8,Inactive,Digital Wallet,Nextday,Yes,BEAUTY5,Yes,Debit Card,Weekly
2512,34,Other,Wristwatch,Accessories,882.98,New York,M,Silver,Fall,4.6,Inactive,Credit Card,Nextday,Yes,TECH10,No,Debit Card,Weekly
2513,27,Female,Perfume,Bags,357.53,Los Angeles,N/A,Olive,Winter,3.8,Inactive,Apple Pay,Free ship,Yes,None,No,Google Pay,Quarterly
2514,30,Other,kurta,Accessories,998.7,Los Angeles,XL,Green,All Seasons,3.3,Active,Google Pay,Free ship,No,None,No,Credit Card,Quarterly
2515,35,Male,kurta,Electronics,157.97,Houston,S,Purple,All Seasons,3.2,Inactive,Debit Card,Store pickup,Yes,BEAUTY5,No,Credit Card,Bi-Weekly
2516,39,Male,jeans,Beauty,275.49,New York,L,Green,Winter,1.9,Active,Google Pay,Store pickup,No,None,Yes,Google Pay,Yearly
2517,51,Other,Wristwatch,Beauty,101.81,Miami,M,Olive,Winter,3.5,Active,Google Pay,Standard,Yes,BEAUTY5,No,Apple Pay,Yearly
2518,49,Female,Gaming Console,Bags,433.44,New York,XL,Blue,Summer,3.0,Active,PayPal,Nextday,No,None,Yes,Credit Card,Monthly
2519,24,Male,Running Shoes,Bags,921.0,Boston,L,Gold,Fall,1.3,Active,Apple Pay,Free ship,No,None,No,Google Pay,Bi-Weekly
2520,50,Female,Wristwatch,Footwear,167.46,New York,N/A,Pink,All Seasons,1.2,Inactive,Apple Pay,Free ship,No,None,No,Credit Card,Quarterly
2521,50,Female,sunglasses,Footwear,786.38,Los Angeles,N/A,Grey,Spring,1.5,Active,PayPal,Nextday,No,None,No,Google Pay,Quarterly
2522,46,Female,Gaming Console,Footwear,371.31,San Francisco,L,Blue,All Seasons,3.1,Active,Credit Card,Nextday,Yes,None,No,PayPal,Yearly
2523,18,Female,kurta,Bags,490.02,Los Angeles,L,Yellow,All Seasons,1.6,Inactive,Debit Card,Free ship,Yes,TECH10,Yes,Google Pay,Yearly
2524,35,Male,Smartphone,Electronics,699.26,Las Vegas,N/A,Grey,All Seasons,4.2,Inactive,PayPal,Store pickup,No,None,Yes,Debit Card,Bi-Weekly
2525,56,Male,Backpack,Footwear,241.71,Las Vegas,M,Red,All Seasons,5.0,Inactive,Apple Pay,Free ship,No,None,Yes,Google Pay,Yearly
2526,51,Male,Handbag,Accessories,826.36,Houston,S,Blue,Summer,1.2,Active,Credit Card,Nextday,Yes,BEAUTY5,No,Google Pay,Quarterly
2527,59,Female,sunglasses,Footwear,525.63,Seattle,S,Blue,Winter,3.2,Active,Debit Card,Express,No,None,Yes,PayPal,Monthly
2528,53,Male,Laptop,Electronics,925.04,Las Vegas,N/A,Blue,Spring,2.5,Inactive,Google Pay,Standard,No,None,No,Debit Card,Bi-Weekly
2529,23,Female,jeans,Beauty,214.33,Houston,S,Olive,Summer,3.8,Active,Credit Card,Free ship,No,None,No,Apple Pay,Yearly
2530,60,Male,Gaming Console,Clothing,940.77,Seattle,N/A,Silver,All Seasons,3.8,Active,Apple Pay,Store pickup,No,None,Yes,PayPal,Weekly
2531,54,Other,Perfume,Electronics,725.06,Boston,M,Green,Winter,2.9,Inactive,Google Pay,Nextday,Yes,SPRING15,Yes,PayPal,Monthly
2532,34,Other,Dress,Accessories,779.2,Chicago,N/A,Black,Fall,1.2,Inactive,Apple Pay,Standard,Yes,SUMMER20,No,Credit Card,Bi-Weekly
2533,22,Other,kurta,Electronics,369.37,San Francisco,XL,Grey,Winter,2.6,Active,Digital Wallet,Standard,Yes,BEAUTY5,Yes,Apple Pay,Bi-Weekly
2534,34,Female,sunglasses,Beauty,489.73,Denver,L,Blue,All Seasons,3.1,Inactive,PayPal,Standard,No,None,No,Google Pay,Quarterly
2535,46,Other,jeans,Beauty,684.84,Las Vegas,N/A,Orange,Summer,2.2,Inactive,Apple Pay,Free ship,No,None,Yes,PayPal,Yearly
2536,55,Male,jeans,Accessories,375.8,Miami,M,Orange,All Seasons,3.7,Inactive,Google Pay,Nextday,Yes,SPRING15,No,Apple Pay,Quarterly
2537,21,Female,Laptop,Electronics,567.9,New York,L,Orange,Winter,2.2,Active,Google Pay,Free ship,No,None,Yes,Apple Pay,Quarterly
2538,52,Other,kurta,Accessories,81.36,Boston,N/A,Gold,Summer,2.1,Active,Debit Card,Express,Yes,SUMMER20,Yes,PayPal,Quarterly
2539,50,Other,sweater,Clothing,514.18,Los Angeles,L,Blue,Spring,2.6,Active,Credit Card,Free ship,No,None,Yes,PayPal,Quarterly
2540,48,Other,Perfume,Footwear,416.46,Denver,N/A,Grey,Winter,4.6,Inactive,Debit Card,Express,Yes,SUMMER20,Yes,PayPal,Weekly
2541,56,Female,Smartphone,Electronics,768.67,New York,S,Gray,Winter,3.6,Inactive,Google Pay,Nextday,Yes,SPRING15,Yes,Credit Card,Yearly
2542,35,Female,Wristwatch,Electronics,418.57,San Francisco,L,Green,Winter,2.4,Active,PayPal,Nextday,No,None,No,Google Pay,Weekly
2543,19,Female,Handbag,Electronics,762.48,Seattle,XL,Pink,All Seasons,4.2,Active,Debit Card,Standard,No,None,No,Debit Card,Yearly
2544,21,Male,jeans,Accessories,949.16,Miami,L,Grey,Summer,4.2,Active,PayPal,Free ship,Yes,None,Yes,Credit Card,Quarterly
2545,19,Male,Running Shoes,Accessories,59.88,Las Vegas,M,Silver,Winter,4.9,Active,Debit Card,Store pickup,No,None,No,Debit Card,Yearly
2546,52,Other,Backpack,Electronics,254.5,New York,L,Gray,All Seasons,2.7,Inactive,PayPal,Express,No,None,No,Google Pay,Yearly
2547,33,Other,jeans,Accessories,359.91,San Francisco,M,Green,Winter,1.9,Inactive,Debit Card,Nextday,Yes,None,No,Credit Card,Quarterly
2548,28,Other,Handbag,Bags,273.95,Los Angeles,M,Purple,Summer,4.1,Inactive,Apple Pay,Standard,No,None,Yes,Google Pay,Quarterly
2549,31,Other,Perfume,Beauty,495.89,Miami,N/A,Blue,Winter,2.3,Active,PayPal,Express,No,None,Yes,PayPal,Bi-Weekly
2550,56,Female,Running Shoes,Clothing,558.52,Las Vegas,M,Grey,Winter,2.4,Inactive,Digital Wallet,Store pickup,No,None,Yes,Debit Card,Monthly
2551,56,Other,Handbag,Clothing,19.0,Las Vegas,L,Yellow,Spring,3.0,Active,Credit Card,Express,No,None,No,Apple Pay,Bi-Weekly
2552,26,Other,Laptop,Footwear,714.31,San Francisco,N/A,Gray,Spring,3.9,Inactive,Debit Card,Express,No,None,Yes,Apple Pay,Weekly
2553,45,Male,Dress,Clothing,890.15,Boston,M,Orange,Spring,4.1,Active,PayPal,Standard,No,None,Yes,Debit Card,Monthly
2554,41,Female,Perfume,Clothing,193.92,Miami,N/A,Green,Winter,1.7,Active,Digital Wallet,Standard,No,None,No,Debit Card,Weekly
2555,42,Female,T-Shirt,Footwear,567.37,Denver,L,White,Fall,3.7,Active,PayPal,Nextday,Yes,None,Yes,Apple Pay,Monthly
2556,43,Other,T-Shirt,Clothing,396.69,Los Angeles,M,Orange,Summer,3.5,Active,Apple Pay,Express,Yes,BEAUTY5,Yes,Credit Card,Weekly
2557,49,Other,T-Shirt,Accessories,703.7,Las Vegas,S,Red,Summer,4.4,Active,PayPal,Store pickup,No,None,No,Apple Pay,Yearly
2558,22,Female,jeans,Electronics,552.3,Boston,M,Purple,Summer,1.6,Inactive,PayPal,Express,Yes,SUMMER20,No,PayPal,Bi-Weekly
2559,33,Male,Handbag,Footwear,451.73,Chicago,L,Pink,Fall,2.4,Inactive,Debit Card,Nextday,Yes,SPRING15,Yes,Google Pay,Quarterly
2560,26,Female,Perfume,Clothing,552.49,Denver,L,Olive,Summer,4.8,Active,Credit Card,Nextday,No,None,No,Google Pay,Quarterly
2561,58,Female,sweater,Bags,772.18,New York,XL,White,Winter,4.0,Inactive,Apple Pay,Store pickup,No,None,No,Credit Card,Bi-Weekly
2562,44,Female,kurta,Accessories,164.61,New York,XL,Black,Winter,3.2,Active,Debit Card,Free ship,No,None,No,Apple Pay,Monthly
2563,40,Other,Smartphone,Accessories,599.56,Las Vegas,L,Orange,Fall,3.9,Inactive,Apple Pay,Express,No,None,No,Credit Card,Weekly
2564,48,Male,Backpack,Footwear,849.89,Seattle,M,Grey,Fall,1.9,Active,Apple Pay,Express,Yes,SUMMER20,No,Debit Card,Yearly
2565,32,Female,jeans,Bags,485.55,San Francisco,XL,Gray,Fall,1.4,Inactive,Credit Card,Express,No,None,No,Debit Card,Yearly
2566,55,Male,Wristwatch,Clothing,506.0,Houston,S,Gold,Summer,3.6,Active,Digital Wallet,Express,No,None,No,Apple Pay,Bi-Weekly
2567,25,Female,Laptop,Bags,327.4,New York,S,Blue,Spring,1.9,Active,Digital Wallet,Express,Yes,TECH10,Yes,Credit Card,Bi-Weekly
2568,58,Other,Backpack,Clothing,303.64,Miami,L,Grey,Fall,4.1,Inactive,Digital Wallet,Free ship,No,None,Yes,Credit Card,Quarterly
2569,55,Female,sweater,Electronics,544.26,New York,XL,Blue,Winter,1.9,Active,PayPal,Express,Yes,None,Yes,Google Pay,Monthly
2570,46,Male,sunglasses,Electronics,391.89,Chicago,L,Orange,Spring,3.7,Inactive,PayPal,Store pickup,Yes,TECH10,No,Google Pay,Weekly
2571,56,Female,sweater,Bags,618.9,Las Vegas,L,Yellow,All Seasons,1.7,Inactive,Digital Wallet,Nextday,No,None,Yes,Google Pay,Bi-Weekly
2572,49,Male,Perfume,Footwear,475.84,Houston,N/A,Blue,Fall,1.1,Active,Credit Card,Nextday,No,None,No,Debit Card,Bi-Weekly
2573,20,Female,sunglasses,Clothing,111.31,Miami,N/A,Black,Fall,3.4,Active,Debit Card,Free ship,No,None,Yes,Google Pay,Yearly
2574,55,Male,Running Shoes,Clothing,643.17,New York,L,Olive,Summer,2.5,Active,Credit Card,Nextday,No,None,Yes,Apple Pay,Quarterly
2575,24,Other,Wristwatch,Clothing,514.2,Los Angeles,M,Silver,Fall,3.9,Active,Apple Pay,Store pickup,No,None,Yes,Apple Pay,Monthly
2576,59,Female,Handbag,Clothing,307.45,Seattle,L,White,Fall,1.6,Active,Debit Card,Express,Yes,BEAUTY5,No,Apple Pay,Monthly
2577,33,Female,jeans,Footwear,337.55,New York,S,Blue,All Seasons,1.1,Inactive,Debit Card,Standard,No,None,Yes,Google Pay,Quarterly
2578,32,Female,T-Shirt,Accessories,843.79,Miami,XL,Purple,Summer,3.5,Active,PayPal,Store pickup,Yes,SPRING15,No,Google Pay,Bi-Weekly
2579,34,Male,Laptop,Beauty,116.54,Denver,M,Yellow,Spring,3.2,Active,Google Pay,Standard,No,None,Yes,Credit Card,Monthly
2580,20,Other,Wristwatch,Footwear,245.93,New York,N/A,Silver,Summer,4.9,Active,Google Pay,Standard,Yes,SPRING15,No,PayPal,Bi-Weekly
2581,29,Male,Smartphone,Clothing,780.46,Chicago,S,Red,Spring,1.1,Inactive,Credit Card,Nextday,No,None,No,Credit Card,Quarterly
2582,26,Other,Running Shoes,Electronics,367.25,San Francisco,L,Blue,Spring,2.6,Inactive,Google Pay,Nextday,No,None,No,Debit Card,Yearly
2583,26,Female,Perfume,Footwear,65.22,Houston,L,Olive,Winter,2.4,Active,Digital Wallet,Standard,Yes,SUMMER20,Yes,PayPal,Bi-Weekly
2584,60,Other,T-Shirt,Accessories,178.43,Miami,L,Gray,Winter,3.8,Active,Google Pay,Store pickup,No,None,Yes,Google Pay,Bi-Weekly
2585,24,Female,Gaming Console,Electronics,919.95,Boston,M,Red,Spring,4.1,Active,Digital Wallet,Express,Yes,SUMMER20,No,Apple Pay,Monthly
2586,25,Male,kurta,Bags,715.38,New York,L,Pink,Spring,3.0,Active,Credit Card,Express,No,None,No,Apple Pay,Bi-Weekly
2587,47,Other,Handbag,Accessories,863.51,Boston,S,White,Fall,3.9,Active,Digital Wallet,Store pickup,Yes,SUMMER20,Yes,Debit Card,Yearly
2588,18,Other,Laptop,Footwear,453.64,New York,XL,Yellow,All Seasons,2.6,Active,Debit Card,Express,No,None,No,Credit Card,Quarterly
2589,23,Female,kurta,Accessories,683.93,San Francisco,L,Silver,Summer,4.1,Inactive,Google Pay,Free ship,Yes,None,No,Apple Pay,Yearly
2590,41,Male,Running Shoes,Beauty,832.41,New York,L,Grey,Summer,3.6,Active,Digital Wallet,Express,No,None,Yes,PayPal,Yearly
2591,58,Female,jeans,Beauty,957.34,Boston,M,White,Fall,4.6,Active,Digital Wallet,Store pickup,No,None,Yes,Apple Pay,Bi-Weekly
2592,18,Male,kurta,Electronics,176.63,San Francisco,XL,Blue,Fall,2.8,Inactive,PayPal,Express,Yes,None,Yes,Apple Pay,Monthly
2593,44,Female,jeans,Electronics,484.1,New York,S,Pink,All Seasons,3.4,Inactive,Google Pay,Free ship,No,None,No,Debit Card,Monthly
2594,35,Other,sweater,Accessories,265.8,Denver,N/A,Olive,All Seasons,2.8,Inactive,Apple Pay,Free ship,Yes,SPRING15,Yes,PayPal,Monthly
2595,53,Other,Handbag,Beauty,762.52,Los Angeles,XL,Red,Winter,2.3,Active,Debit Card,Standard,No,None,Yes,Debit Card,Quarterly
2596,56,Male,Dress,Electronics,201.88,Boston,N/A,Silver,All Seasons,2.0,Inactive,PayPal,Store pickup,No,None,Yes,Google Pay,Bi-Weekly
2597,30,Male,jeans,Accessories,261.36,Houston,N/A,Green,Spring,4.8,Inactive,Credit Card,Standard,Yes,TECH10,No,Credit Card,Yearly
2598,55,Other,Handbag,Footwear,897.64,New York,L,Orange,Spring,2.5,Active,Digital Wallet,Standard,Yes,SPRING15,Yes,PayPal,Yearly
2599,27,Male,sunglasses,Electronics,316.39,Miami,M,Gold,Summer,1.8,Inactive,Google Pay,Store pickup,No,None,Yes,Credit Card,Monthly
2600,43,Male,Handbag,Clothing,688.73,San Francisco,M,Olive,Winter,4.8,Active,Credit Card,Store pickup,No,None,No,Google Pay,Quarterly
2601,48,Male,Handbag,Bags,62.04,Las Vegas,XL,Green,Fall,2.3,Inactive,PayPal,Nextday,Yes,SUMMER20,No,Debit Card,Yearly
2602,60,Other,Laptop,Footwear,778.39,New York,M,Red,Winter,4.0,Active,Debit Card,Express,Yes,TECH10,No,Google Pay,Weekly
2603,24,Male,T-Shirt,Clothing,359.0,Miami,S,Yellow,Winter,2.9,Inactive,Debit Card,Express,Yes,BEAUTY5,Yes,Debit Card,Bi-Weekly
2604,42,Other,Running Shoes,Beauty,932.62,San Francisco,M,Black,Spring,1.5,Active,Digital Wallet,Free ship,No,None,No,Google Pay,Monthly
2605,40,Female,sweater,Bags,172.03,San Francisco,S,Pink,All Seasons,3.7,Inactive,PayPal,Store pickup,No,None,Yes,Debit Card,Bi-Weekly
2606,47,Male,Running Shoes,Bags,43.57,Seattle,N/A,Silver,All Seasons,3.4,Inactive,Google Pay,Express,Yes,BEAUTY5,Yes,Credit Card,Monthly
2607,39,Female,Gaming Console,Footwear,839.79,Houston,L,White,Summer,4.9,Inactive,Digital Wallet,Standard,Yes,None,No,Credit Card,Weekly
